Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
Cueto de la Mina,F,Ua-3588,17545,205,Bone,AMS,Middle Solutrean,Northern Iberia,"Soto-Barreiro, 2003",No,"Problematic (Muñoz Ibánez, 2000:38)"
Lapa do Picareiro,O,UGAMS-24606,17570,45,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Amalda,IV,I-11355,17580,440,?,C14,Upper evolved Solutrean,Northern Iberia,"Altuna, 1990",Yes,
Chaves,C1,D-AMS-023793,17615,72,Charcoal,AMS,Solutrense,Mediterranean,"Utrilla, 1992",Yes,
"Aguas, Las",C2,GrA-30321,17630,80,Bone,AMS,Upper Solutrean,Northern Iberia,"Rasines del Río, 2016",Yes,
Vale Boi,Slope 2,Wk-12132,17634,110,Bone,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Vale Boi,Slope 2,Wk-12131,17634,108,Bone,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,Minimum Age
Gato 2,II,GrA-42226,17700,70,Bone,AMS,Archaic Magdalenian,Central Iberia,"Blasco and Rodanés, 2009; Utrilla et al. 2012",Yes,"The youngest dates (17,7 and 18,0) are preferred (see Utrilla et al. 2010, 2012)"
L'Arbreda,"m, 3.25-3.5",Gif-6419,17720,290,charcoal,C14,Solutrense,Mediterranean,"Delibrias et al., 1987",Yes,
Ermittia,V,Ua-4521,17725,165,Bone,AMS,Solutrean,Northern Iberia,"Esparza and Mujika, 1999",Yes,
Praileaitz,V,Beta-162879,17760,70,Bone,AMS,Solutrean,Northern Iberia,Peñalver et al 2017,Yes,
Salemas,,ICEN-367,17770,420,,C14,Solutrean,Portugal,"Córchon and Cardoso, 2005",Yes,
Barranc de l'Infern,,,17800,290,Charcoal,C14,Solutrense / Magdaleniense A?,Mediterranean,Cacho & Ripoll 1990,No,No context
Maltravieso,A,Poz-30469,17840,90,Charcoal,AMS,Solutrean or early Magdalenian ?,Central Iberia,Canals et al. 2010,Yes,
Buraca Grande,9,Gif-9502,17850,200,Charcoal,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Amalda,V,I-11372,17880,390,?,C14,Gravettian,Northern Iberia,"Altuna, 1990",No,"No (too young, Bradtmöller, 2014 )"
Parpalló,4.0-4.25,Birm-521,17896,340,Bone,C14,Solutrense superior,Mediterranean,"Bofinger & Davidson, 1977",Yes,
Maltravieso,A,Poz-30460,17930,100,Charcoal,AMS,Solutrean or early Magdalenian ?,Central Iberia,Canals et al. 2010,Yes,
Nerja Vestibulo,NV 8c (hogar),UBAR-98,17940,200,Charcoal,C14,Solutrense (superior),Mediterranean,"Jordá y Aura, 2008",Yes,
"Caldas, Las",9 (Sala I),Ua-15315,17945,370,Bone,AMS,Upper Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
Aitzbitarte IV,IV base 14N -160,GrN-5993,17950,150,Bone,C14,Upper Solutrean,Northern Iberia,"Altuna, 1972",Yes,
Buraca Escura,?,Gif-4585te,18040,230,Charcoal,AMS,?,,,No,
Gato 2,II,GrA-30683,18090,90,Charcoal,AMS,Archaic Magdalenian,Central Iberia,"Blasco and Rodanés, 2009; Utrilla et al. 2012",Yes,
"Zafarraya, Boquete","168M, Nivel D, Conjunto Ic, Unidad UD22",,18094,280,,,Solutrense,Mediterranean,,No,No context
Las Delicias,I-IIb,MAD-5585SDA,18175,1333,Sediment,OSL,Solutrean,Central Iberia,Alcaraz-Castaño et al. 2017,Yes,"OSL dates for Las Delicias must be considered minimum ages, especially for II-3B (see Alcaraz-Castaño et al. 2017 for discussion)"
"Riera, La",16,Gak-6983,18200,610,Charcoal,C14,Upper Solutrean/Badegoulian?,Northern Iberia,"Straus, 1986",Yes,
Hornos de la Peña,C,BM-1881,18230,510,Hueso,C14,Solutrean?,Northern Iberia,"Straus, 1992",Yes,
"Caldas, Las",3 (pasillo),Ly-2421,18250,300,Bone,AMS,"Upper Solutrean (Archaic Magdalenian following Aura et al., 2012)",Northern Iberia,"Jordá et al., 1992",Yes,
Cabeco de Porto Marinho,,,18250,300,,,Late Gravettian/Proto-Solutrean,,,No,
Cabeco de Porto Marinho,,,18255,35,,,Late Gravettian/Proto-Solutrean,,,No,
"Cobrante, Cueva de",4,GrA-22439,18260,70,Bone,AMS,Solutrean,Northern Iberia,"Rasines del Río et al., 2009",Yes,
Gato 2,II,GrA-22503,18260,130,Charcoal,AMS,Archaic Magdalenian,Central Iberia,"Blasco and Rodanés, 2004; Utrilla et al. 2012",Yes,
"Gato, Cueva del",2,GrA-22503,18260,130,Charcoal,AMS,not clear: Archaic Magdalenian?,Northern Iberia,"Utrilla et al., 2012",No,Problematic: non-diagnostic materials
"Morín, Cueva",3,Poz-36374,18270,130,Bone,AMS,Upper Solutrean,Northern Iberia,"Weniger et al., 2019",Yes,
Beneito,IV (ext),Ua-32244,18275,175,Bone,AMS,Solutrense,Mediterranean,"Domenech et al., 2012",Yes,
Higueral de Valleja,IV,K0308,18300,80,Charcoal,AMS,Gravetiense,Mediterranean,"Jennings et al., 2009",No,No context
"Caldas, Las",11 (Sala 1),Ua-15316,18305,295,Bone,AMS,Upper Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
"Caldas, Las",7 (pasillo),Ly-2423,18310,260,Bone,AMS,Upper Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
Cobrante,5,OxA-32504,18310,100,Bone,AMS,"Early Upper Palaeolithic, Aurignacian",,,No,
Finca Doña Martina,4. HE-37,VERA-6171HS,18320,100,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
"Mirón, El",121,GX-32655,18390,300,Bone,C14,Upper Solutrean,Northern Iberia,"Straus, 2007",Yes,
Aitzbitarte III,III,Ua-11150,18400,215,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
Vale Boi,Slope 2,Wk-12131,18406,164,Bone,AMS,Proto-Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Gorham's Cave,Level III,Beta-184042,18440,160,Charcoal,AMS,Magdaleniense A?,Mediterranean,"Zilhao et al., 2017",Yes,
Nerja Vestibulo,"NV 8 (A7, 8-c)",Beta-362535,18440,70,Charcoal,AMS,Solutrense (hogar),Mediterranean,"Aura & Jordá, 2012",Yes,
Parpalló,PT-11,OxA-22629,18510,100,Bone,AMS,Badeguliense,Mediterranean,"Aura et al., 2012",Yes,
Parpallo,PT-11,OxA-26343,18520,100,Bone,AMS,Badeguliense,Mediterranean,"Aura et al., 2012",Yes,
"Cobrante, Cueva de",3,GrA-22438,18540,70,Bone,AMS,Solutrean,Northern Iberia,"Rasines del Río et al., 2009",Yes,
Altamira III,,GifA-90045,18540,320,Bone,AMS,Solutreen upper,,,No,
Cova Rosa,II,OxA-31801,18550,100,Bone,AMS,Upper Solutrean,Northern Iberia,"Álvarez Fernández et al., 2019",Yes,
Cobrante,5,OxA-32503,18550,100,Bone,AMS,"Early Upper Palaeolithic, Aurignacian",,,No,
Parpallo,PT -12,OxA-26344,18560,100,Bone,AMS,Solutrense,Mediterranean,"Aura et al., 2012",Yes,
Pego do Diabo,3,ICEN-491,18630,640,Bone,C14,Gravettian,Portugal,Bicho et al. 2015,No,
Parpallo,PT-11,OxA-26342,18640,100,Bone,AMS,Badeguliense,Mediterranean,"Aura et al., 2012",Yes,
Gato 2,II,GrA-22505,18650,140,Charcoal,AMS,Archaic Magdalenian,Central Iberia,"Blasco and Rodanés, 2004; Utrilla et al. 2012",Yes,
Montlleó,I. Sect A,OxA-23973,18680,80,Charcoal,AMS,Solutrense / Badeguliense,Mediterranean,"J. Fullola i Pericot, 2001",Yes,
Finca Doña Martina,4. HE-38,VERA-5101a,18690,80,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
Reclau Viver,4.80-5,M-1016,18700,800,,C14,Aurignacian,Mediterranean,,No,SD / Anomalus
Aitzbitarte III,III,Ua-18463,18715,235,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
Cendres,XIII 67,Beta-118027,18750,130,Charcoal,C14,"Solutrense

",Mediterranean,"Martínez-Alfaro et al., 2019",Yes,
Altamira,7inf,GrA-30324,18750,100,Bone,AMS,Upper Solutrean,Northern Iberia,"Lasheras et al., 2012",Yes,
Caldeirão,Fc,OxA-2510,18840,200,Bone,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Gato 2,II,GrA-30684,18850,100,Charcoal,AMS,Archaic Magdalenian,Central Iberia,"Blasco and Rodanés, 2004; Utrilla et al. 2012",Yes,
"Gato, Cueva del",2,GrA-30684,18850,100,Charcoal,AMS,not clear: Archaic Magdalenian?,Northern Iberia,"Utrilla et al., 2012",No,Problematic: non-diagnostic materials
Cendres,XIII 65,Beta-118026,18920,180,Charcoal,C14,Solutrense,Mediterranean,"Martínez-Alfaro et al., 2019",Yes,
"Zafarraya, Boquete",,OxA-7114,18920,420,Charcoal,AMS,Solutrense,Mediterranean,,No,No context
Lapa do Picareiro,S,UGAMS-23720,18930,50,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
